"","Date","^GSPC","QCOM","ACN","CRM","MSFT","VZ","TXN","NKE","LULU","RL","HSY","UAA","F","RY","WFC","AMX","GS","V","BAC","CVS","SNY","CI","DVA","SYK","BIIB","COST","NFLX","SBUX","TJX","DAL","WMT","SPY"
"1","2010-01-01",1073.869995,29.448206,32.853466,15.8875,22.058609,16.763275,17.201874,11.66812,14.12,69.988945,28.358856,3.175,7.315541,32.019855,21.231312,18.068649,127.871292,18.977268,13.460909,26.30044,23.45841,33.576958,29.879999,45.132339,53.740002,44.383762,8.892858,9.198994,7.162648,10.863258,41.104801,87.41111
"2","2010-02-01",1104.48999,27.562136,32.035938,16.987499,22.442167,16.722319,18.734722,12.372784,14.325,68.222153,30.951086,3.2575,7.922921,35.602066,20.417307,18.449474,134.43161,19.729137,14.773309,27.492949,23.324579,34.064156,30.805,46.158085,55.009998,47.119598,9.435715,9.671817,7.844805,11.476149,41.597172,90.137856
"3","2010-03-01",1169.430054,31.669327,33.622894,18.612499,23.034698,17.930393,18.803883,13.452656,20.74,72.583649,33.595871,3.67625,8.48306,38.434422,23.280611,20.837934,147.038727,21.09104,15.828542,29.781982,23.808914,36.370899,31.700001,49.739479,57.389999,46.287605,10.534286,10.245962,8.115599,12.959519,42.774227,95.233269
"4","2010-04-01",1186.689941,29.193756,34.977428,21.4,24.017746,16.704975,19.987293,14.1192,18.809999,76.821426,36.891891,4.21875,8.786747,39.863781,24.76931,21.30983,125.124626,20.905685,15.820416,30.075235,21.737743,31.913422,31.215,50.060902,53.290001,45.799232,14.128572,10.967866,8.844702,10.730021,41.498951,97.104759
"5","2010-05-01",1089.410034,26.838936,30.336206,21.6325,20.290043,16.153227,18.850698,13.46262,20.43,74.223694,36.7271,4.21125,7.916172,34.943245,21.462746,19.596098,124.314598,16.788494,13.96598,28.27669,19.061152,33.316971,31.715,46.217442,47.43,45.155804,15.878572,10.975145,8.676745,12.062391,39.116089,89.389351
"6","2010-06-01",1030.709961,24.918964,31.249859,21.455,18.177536,16.446705,17.970688,12.564246,18.610001,62.34584,37.873795,4.14125,6.802644,31.729755,19.180258,19.662331,113.403557,16.416681,12.750386,23.940878,20.199745,30.91799,31.219999,43.628979,47.450001,42.650627,15.521428,10.301124,8.113184,10.436898,37.405739,84.362885
"7","2010-07-01",1101.599976,28.895084,32.050304,24.737499,20.389498,18.186745,19.059122,13.902665,20.74,67.607834,37.138916,4.695,8.618032,34.704208,20.776108,20.535753,130.292664,17.019983,12.465654,25.059536,19.581524,30.619364,28.66,40.709198,55.880001,44.113018,14.65,10.534279,8.030022,10.552374,39.833557,90.553703
"8","2010-08-01",1049.329956,29.062016,29.592354,27.469999,18.54093,18.816776,17.853741,13.215457,16.434999,64.809708,36.720119,4.48375,7.619231,32.054211,17.644335,19.404778,118.293167,16.00598,11.062824,22.094645,19.225372,32.072689,32.310001,37.754585,53.799999,43.949661,17.931429,9.741558,7.676098,9.291062,39.01651,86.480568
"9","2010-09-01",1141.199951,34.416515,34.354626,27.950001,19.449926,20.766634,21.049103,15.12981,22.360001,76.891998,37.858898,5.63,8.260352,34.950554,18.854149,22.192942,125.215599,17.259796,11.631063,25.771627,22.343367,35.616409,34.514999,43.751255,56.119999,50.347355,23.165714,10.887976,8.753702,10.339191,41.889725,93.723564
"10","2010-10-01",1183.26001,34.439388,36.149551,29.0175,21.181273,20.696539,22.933758,15.608957,22.16,82.990036,39.370403,5.835,9.535851,35.78862,19.559681,23.828384,139.548981,18.166248,10.174247,24.674267,23.59325,34.999241,35.875,43.394173,62.709999,49.004543,24.795713,12.170671,9.000839,12.337749,42.398472,97.824875
